DOI,Title,Journal,Year,Month,Authors
"10.1038/s41528-026-00544-6","AI-enabled flexible electronic systems via near-sensor and in-sensor computing","npj Flexible Electronics","2026","2","Xu, Zhangyu; Xie, Erxuan; Hou, Chao; Bai, Yunzhao; He, Wei"
"10.1038/s41528-026-00554-4","Wearable ultrasound microneedle patch for on-demand and sustained management of gouty arthritis","npj Flexible Electronics","2026","2","Zhang, Shuxin; Zhou, Zhengming; Chen, Litong; Zeng, Yu-Jia; Xu, Tailin"
"10.1038/s41528-026-00551-7","Building on strength: a decade of progress in flexible electronics","npj Flexible Electronics","2026","3","Dahiya, Ravinder"
"10.1038/s41528-026-00532-w","Flexible ferroelectric biomaterials for skin; neural; and musculoskeletal tissue repair","npj Flexible Electronics","2026","1","Sheng, Ning; Wang, Yirui; Luo, Xu; Wu, Juan; Chen, Long"
"10.1038/s41528-026-00536-6","High output power low temperature polysilicon thin-film transistor boost converters for large-area sensor and actuator applications","npj Flexible Electronics","2026","1","Velazquez Lopez, Mauricio; Papadopoulos, Nikolas; Coulson, Paoline; Vandecasteele, Bjorn; Myny, Kris"
"10.1038/s41528-026-00549-1","Quantitative surface-enhanced Raman spectroscopy analysis of sweat integrated with a skin-mounted soft microfluidic reactor","npj Flexible Electronics","2026","2","Sung, Daeun; Jekal, Bon; Lee, Seok In; Kang, Taewook; Jeong, Keunhong"
"10.1038/s41528-025-00527-z","Smart cushioning device integrating self-folding origami honeycomb structure and inductor-capacitor passive wireless sensor","npj Flexible Electronics","2026","1","Minamide, Hiroaki; Naritomi, Daichi; Okamoto, Shuta; Motoyama, Satoshi; Shigemune, Hiroki"
"10.1038/s41528-026-00542-8","Breathable nanomesh electrodes with improved water resistance and stretchability for skin impedance monitoring","npj Flexible Electronics","2026","2","Mimuro, Maho; Ebihara, Yusuke; Liang, Xiaoping; Inoue, Daishi; Hashizume, Daisuke"
"10.1038/s41528-026-00531-x","Smart photocapacitive Cu2SnS3 quantum dots-based flexible biointerface for retinal-inspired photoelectrical stimulation","npj Flexible Electronics","2026","1","Vanalakar, Sharadrao A.; Qureshi, Mohammad H.; Mohammadiaria, Mohammad; Vhanalkar, Sharayu S.; Kim, Jin H."
"10.1038/s41528-026-00548-2","A low-voltage three-state flexible tunable bandpass filter using organic electrochemical transistors for 5G NR n79 and Wi-Fi 6E applications","npj Flexible Electronics","2026","2","Yang, Wendong; Wu, Lei; Wei, Jiaxing; Tong, Lingming; List-Kratochvil, Emil J. W."
"10.1038/s41528-026-00534-8","Assemblable thermoelectric Lego blocks for reconfigurable; self-healing; and flexible power generators","npj Flexible Electronics","2026","1","Kim, Keonkuk; Park, Kyuha; Song, Jihyang; Lee, Ji Eun; Son, Donghee"
"10.1038/s41528-026-00537-5","4A tetrahedron system: a synergistic framework for panvascular intervention empowered by flexible electronics","npj Flexible Electronics","2026","1","You, Lingsen; Qu, Yirong; Chen, Yuheng; Wang, Yu; Shen, Li"
"10.1038/s41528-025-00512-6","An organic spiking artificial neuron with excitatory and inhibitory synapses: towards soft and flexible organic neuromorphic processing","npj Flexible Electronics","2026","1","Mirshojaeian Hosseini, Mohammad Javad; Yang, Yi; Bamford, Simeon; Bartolozzi, Chiara; Indiveri, Giacomo"
"10.1038/s41528-025-00506-4","Self-assembled aqueous liquid metal inks for stretchable conductors and circuits","npj Flexible Electronics","2026","1","Pei, Dandan; Dai, Yang; Dai, Fanqi; Liang, Kui; Zhao, Yangyong"
"10.1038/s41528-025-00524-2","Mechanics and bio-interface engineering in flexible biosensors for continuous health monitoring","npj Flexible Electronics","2026","1","Qaiser, Nadeem; Suryaprabha, Thirumalaisamy; Vetrano, Felice; Hwang, Byungil; Elatab, Nazek"
"10.1038/s41528-026-00541-9","Phytic acid-assisted low-temperature carbonization of jute fabric for high-performance flexible pressure sensors","npj Flexible Electronics","2026","2","Zhu, Bo xuan; Zhao, Lu wen; Lv, Li; Li, Cheng cheng; Zhang, Miao"
"10.1038/s41528-026-00533-9","Harnessing piezoelectric poly L lactic acid for enhanced sensing in aortic annuloplasty","npj Flexible Electronics","2026","1","Merhi, Youssif; Montero, Karem Lozano; Johansen, Peter; Mäntysalo, Matti; Agarwala, Shweta"
"10.1038/s41528-026-00528-6","A liquid metal droplet rotary paddle motor","npj Flexible Electronics","2026","1","Fuchs, Richard; Nor-Azman, Nur-Adania; Tang, Shi-Yang; Kumar, Priyank V.; Tang, Jianbo"
"10.1038/s41528-026-00540-w","Magnetically controllable battery-free multifunctional ingestible and versatile smart e-pill","npj Flexible Electronics","2026","2","Patel, Sanjeev; Sahu, Shivank; Arora, Akshit; Kumar, Dhanranjan; Bhattacharjee, Mitradip"
"10.1038/s41528-025-00507-3","Ultra-sensitive real-time monitoring of intraocular pressure with an integrated smart contact lens using parity-time symmetry wireless technology","npj Flexible Electronics","2026","1","Xiao, Te; Zhang, Hanzhe; Takamatsu, Taiki; Ashimori, Atsushige; Azhari, Saman"
"10.1038/s41528-025-00520-6","Mechanosensory neuron implemented by a single freestanding epitaxial SrTiO3 capacitor","npj Flexible Electronics","2026","1","Kim, Sohwi; Yoon, Chansoo; Jeon, Jihoon; Ryu, Woohyeon; Oh, Gwang Taek"
"10.1038/s41528-026-00550-8","Biodegradable chitosan-cellulose and sub-spherical nanocrystals composite piezoelectric thin film","npj Flexible Electronics","2026","3","Antonaci, Valentina; de Marzo, Gaia; Blasi, Laura; Brunetti, Virgilio; Binetti, Enrico"
"10.1038/s41528-026-00545-5","Materials; processing; and structural strategies for encapsulation in stretchable and flexible optoelectronics","npj Flexible Electronics","2026","2","Yoo, Hyeonji; Lee, So-Hyeon; Kwak, Ji-Youn; Kim, Su-Min; Jeong, Hoe-Yeon"
"10.1038/s41528-025-00526-0","A wireless implantable sensory ring for continuous airway stent migration tracking","npj Flexible Electronics","2026","1","Ge, Ruijian; Wang, Yusheng; Negron, Carlos; Fan, Hanwen; Maldonado, Fabien"
"10.1038/s41528-025-00523-3","Adaptive 3D printing of moldable conductive polymer composite for highly sensitive soft sensors with a broad working range","npj Flexible Electronics","2026","1","Yang, Yuanhang; Tang, Yuxuan; Xue, Kai; Li, Junwei; Duan, Shun"
"10.1038/s41528-026-00558-0","Programmable somatosensory soft robots","npj Flexible Electronics","2026","3","Georgopoulou, Antonia; Aguiriano Calvo, Malena; Lucherini, Lorenzo; Lee, Sudong; Hughes, Josie"
